Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-047T11:07:04.3179Z [Feb 16] ( 26.598,  89.957)     581440           184      11      57    75507
2011-047T11:07:05.1682Z [Feb 16] ( 25.680,  88.492)      58447           227       4       6    75507
2011-047T11:07:06.0043Z [Feb 16] ( 25.753,  87.598)      67030           152       8      10    75507
2011-047T11:07:06.2998Z [Feb 16] ( 26.069,  88.946)     146386            87       3      12    75507
2011-047T11:07:06.8063Z [Feb 16] ( 25.977,  89.077)     288128           202       9      23    75507
2011-047T11:07:07.1254Z [Feb 16] ( 25.069,  87.588)      90426           111       7      13    75507
2011-047T11:07:08.8621Z [Feb 16] ( 25.740,  88.808)     983438           389      18      88    75507
2011-047T11:07:08.9962Z [Feb 16] ( 25.620,  88.744)       9829             0       1       1    75507
2011-047T11:07:10.1656Z [Feb 16] ( 25.916,  89.165)     516220           499      19      54    75507
2011-047T11:07:10.2872Z [Feb 16] ( 25.762,  87.583)     103367           100       4      12    75507
2011-047T11:07:10.6972Z [Feb 16] ( 26.887,  90.391)    1540565           551      30     123    75507
2011-047T11:07:10.7239Z [Feb 16] ( 25.677,  87.682)      53743            18       3       8    75507
2011-047T11:07:12.4661Z [Feb 16] ( 25.647,  88.759)      24510             0       1       1    75507
2011-047T11:07:13.9972Z [Feb 16] ( 25.718,  87.667)     123406            55       3      10    75507
2011-047T11:07:14.4947Z [Feb 16] ( 25.978,  89.071)     136532            34       4      13    75507
2011-047T11:07:15.6193Z [Feb 16] ( 26.993,  88.525)      64071           132       4       7    75507
2011-047T11:07:15.7394Z [Feb 16] ( 25.088,  87.618)     419300           343      18      44    75507
2011-047T11:07:17.0102Z [Feb 16] ( 25.636,  88.725)      49268            45       4       6    75507
2011-047T11:07:17.3776Z [Feb 16] ( 25.971,  89.116)      66350           116       2       7    75507
2011-047T11:07:18.4715Z [Feb 16] ( 25.997,  89.140)      97533           137       6      10    75507
2011-047T11:07:19.2629Z [Feb 16] ( 25.908,  89.121)      19541             0       1       2    75507
2011-047T11:07:21.8463Z [Feb 16] ( 25.920,  89.187)      74596           104       6      10    75507
2011-047T11:07:23.1322Z [Feb 16] ( 25.615,  88.771)      83299            57       3       9    75507
2011-047T11:07:23.6604Z [Feb 16] ( 25.683,  88.750)     120618            96       7      14    75507
2011-047T11:07:23.8750Z [Feb 16] ( 26.711,  90.460)    3478851           125      18     155    75507
2011-047T11:07:24.0237Z [Feb 16] ( 26.637,  90.539)      62169            80       5       9    75507
2011-047T11:07:24.7041Z [Feb 16] ( 25.741,  91.989)      84563            98       3       9    75507
2011-047T11:07:25.1071Z [Feb 16] ( 26.069,  88.970)     373159           213      14      41    75507
2011-047T11:07:25.2664Z [Feb 16] ( 25.996,  89.077)      62301            80       4       9    75507
2011-047T11:07:25.9433Z [Feb 16] ( 27.298,  90.762)   21586774           164      28     382    75507
2011-047T11:07:25.9734Z [Feb 16] ( 27.290,  90.894)      36658           311       2       6    75507
2011-047T11:07:26.0076Z [Feb 16] ( 27.333,  90.909)    1264864            16       8      78    75507
2011-047T11:07:26.0900Z [Feb 16] ( 25.046,  87.599)     116319           104       5      10    75507
2011-047T11:07:26.1759Z [Feb 16] ( 27.233,  90.842)     279293           161       6      22    75507
2011-047T11:07:26.2493Z [Feb 16] ( 25.609,  88.856)     119479           150       6      14    75507
2011-047T11:07:27.3076Z [Feb 16] ( 26.707,  90.377)     386616           528      16      47    75507
2011-047T11:07:27.6568Z [Feb 16] ( 27.251,  90.774)     111841            48       8      14    75507
2011-047T11:07:28.1990Z [Feb 16] ( 25.957,  89.110)      30244             0       1       3    75507
2011-047T11:07:28.8151Z [Feb 16] ( 25.644,  88.731)      41723            60       3       6    75507
2011-047T11:07:28.9744Z [Feb 16] ( 26.370,  92.159)      47108           218       5       9    75507
